,Date,weather.station,Station,lat,long,tract,Parking.plain,Parking,WalkScore,TransScore,TransRoutes,NumBikeshare,post,DoW,origin.tract,destination.tract,origin,destination,treatment,dest.long,dest.lat,distance,Vehicles,school.population,K12,College,event,Precip,Travel.Time.per.Mile..Minutes.Mile.,Mon,Wed,Thur,Fri,Sat,Sun,month,June,Aug,Sept
0,6/25/19,DEKALB-PEACHTREE AIRPORT,Inman Park/Reynoldstown,33.7577651,-84.3536191,30.0,free,1,78,9.0,13,5,0,Tuesday,30,31,30.0,31.0,1,-84.3530446,33.7520808,0.394572743,480,625,329,244,0,0,6.420446877,0,0,0,0,0,0,6,1,0,0
1,6/25/19,DEKALB-PEACHTREE AIRPORT,Candler Park ,33.7623471,-84.3410014,204.0,free,1,70,9.1,10,2,0,Tuesday,204,30,204.0,30.0,1,-84.3572779,33.758758,0.96836485,2305,677,468,128,0,0,2.13418183,0,0,0,0,0,0,6,1,0,0
2,6/25/19,DEKALB-PEACHTREE AIRPORT,Kensington,33.7719453,-84.2510786,231.13,free,1,39,9.0,11,0,0,Tuesday,23113,23112,231.13,231.12,0,-84.2386721,33.7648909,0.86430452,985,645,356,176,0,0,2.641815795,0,0,0,0,0,0,6,1,0,0
3,6/25/19,DEKALB-PEACHTREE AIRPORT,East Lake ,33.764698,-84.312939,208.01,free,1,57,8.4,5,1,0,Tuesday,20801,227,208.01,227.0,1,-84.3039234,33.7604658,0.595382589,955,505,351,98,0,0,3.471157381,0,0,0,0,0,0,6,1,0,0
4,6/25/19,DEKALB-PEACHTREE AIRPORT,Inman Park/Reynoldstown,33.7577651,-84.3536191,30.0,free,1,78,9.0,13,5,0,Tuesday,30,32,30.0,32.0,1,-84.3650959,33.7498233,0.858735665,480,625,329,244,0,0,3.668183504,0,0,0,0,0,0,6,1,0,0
5,6/25/19,DEKALB-PEACHTREE AIRPORT,Brookhaven  ,33.8596031,-84.3394018,214.05,free,1,74,8.1,5,0,0,Tuesday,21405,21411,214.05,214.11,0,-84.329312,33.8667772,0.762959901,2665,903,535,240,0,0,2.118940542,0,0,0,0,0,0,6,1,0,0
6,6/25/19,DEKALB-PEACHTREE AIRPORT,Doraville  ,33.9026276,-84.2804662,213.01,free,1,54,7.6,15,0,0,Tuesday,21301,21307,213.01,213.07,0,-84.2742641,33.890991,0.880161486,1750,936,627,218,0,0,2.65102867,0,0,0,0,0,0,6,1,0,0
7,6/25/19,DEKALB-PEACHTREE AIRPORT,Arts Center   ,33.78885,-84.386841,4.0,limited,1,87,9.2,39,7,0,Tuesday,4,11,4.0,11.0,1,-84.3830169,33.7841633,0.391695244,1655,347,169,178,0,0,5.233660687,0,0,0,0,0,0,6,1,0,0
8,6/25/19,DEKALB-PEACHTREE AIRPORT,East Lake ,33.764698,-84.312939,208.01,free,1,57,8.4,5,1,0,Tuesday,20801,207,208.01,207.0,1,-84.3249841,33.7538959,1.018869513,955,505,351,98,0,0,1.455861928,0,0,0,0,0,0,6,1,0,0
9,6/25/19,DEKALB-PEACHTREE AIRPORT,Inman Park/Reynoldstown,33.7577651,-84.3536191,30.0,free,1,78,9.0,13,5,0,Tuesday,30,204,30.0,204.0,1,-84.3443392,33.7660727,0.784212838,480,625,329,244,0,0,2.975382727,0,0,0,0,0,0,6,1,0,0
10,6/25/19,DEKALB-PEACHTREE AIRPORT,East Lake ,33.764698,-84.312939,208.01,free,1,57,8.4,5,1,0,Tuesday,20801,203,208.01,203.0,1,-84.3300628,33.76617,0.989919884,955,505,351,98,0,0,3.400948623,0,0,0,0,0,0,6,1,0,0
11,6/25/19,DEKALB-PEACHTREE AIRPORT,Avondale,33.7756856,-84.2817456,226.0,free,1,68,9.0,10,0,0,Tuesday,226,228,226.0,228.0,0,-84.289345,33.7630876,0.974833745,2015,1666,1202,255,0,0,3.898100595,0,0,0,0,0,0,6,1,0,0
12,6/25/19,DEKALB-PEACHTREE AIRPORT,Inman Park/Reynoldstown,33.7577651,-84.3536191,30.0,free,1,78,9.0,13,5,0,Tuesday,30,205,30.0,205.0,1,-84.3416194,33.7526586,0.775244278,480,625,329,244,0,0,5.310154213,0,0,0,0,0,0,6,1,0,0
13,6/25/19,DEKALB-PEACHTREE AIRPORT,Avondale,33.7756856,-84.2817456,226.0,free,1,68,9.0,10,0,0,Tuesday,226,22203,226.0,222.03,0,-84.2744189,33.786476,0.857039849,2015,1666,1202,255,0,0,5.561779506,0,0,0,0,0,0,6,1,0,0
14,6/25/19,DEKALB-PEACHTREE AIRPORT,Avondale,33.7756856,-84.2817456,226.0,free,1,68,9.0,10,0,0,Tuesday,226,230,226.0,230.0,0,-84.2684881,33.7708628,0.832076554,2015,1666,1202,255,0,0,6.810270805,0,0,0,0,0,0,6,1,0,0
15,6/25/19,DEKALB-PEACHTREE AIRPORT,Lenox  ,33.8448208,-84.3589471,94.03,free,1,68,9.1,9,0,0,Tuesday,9403,9602,94.03,96.02,1,-84.3614068,33.844113,0.149550546,2340,1211,548,583,0,0,10.14149872,0,0,0,0,0,0,6,1,0,0
16,6/25/19,DEKALB-PEACHTREE AIRPORT,Chamblee  ,33.8879223,-84.3049086,212.04,free,1,63,8.6,9,0,0,Tuesday,21204,21208,212.04,212.08,0,-84.3036535,33.9012348,0.923650452,525,720,689,10,0,0,3.897578343,0,0,0,0,0,0,6,1,0,0
17,6/25/19,DEKALB-PEACHTREE AIRPORT,Medical Center  ,33.9105547,-84.3516887,101.15,free,1,31,8.1,11,0,0,Tuesday,10115,10110,101.15,101.1,0,-84.3632094,33.9205399,0.956230576,1260,476,311,99,0,0,2.230982136,0,0,0,0,0,0,6,1,0,0
18,6/25/19,DEKALB-PEACHTREE AIRPORT,Lindbergh Center   ,33.8236541,-84.3700046,94.02,free,1,79,9.4,9,0,0,Tuesday,9402,9603,94.02,96.03,1,-84.3757572,33.8343705,0.81162088,2925,1119,195,924,0,0,5.667670847,0,0,0,0,0,0,6,1,0,0
19,6/25/19,DEKALB-PEACHTREE AIRPORT,Lenox  ,33.8448208,-84.3589471,94.03,free,1,68,9.1,9,0,0,Tuesday,9403,9601,94.03,96.01,1,-84.3777069,33.8463916,1.083197423,2340,1211,548,583,0,0,4.462098255,0,0,0,0,0,0,6,1,0,0
20,6/25/19,DEKALB-PEACHTREE AIRPORT,Inman Park/Reynoldstown,33.7577651,-84.3536191,30.0,free,1,78,9.0,13,5,0,Tuesday,30,17,30.0,17.0,1,-84.3671952,33.7659024,0.962447662,480,625,329,244,0,0,4.467775412,0,0,0,0,0,0,6,1,0,0
