"","origin","destination","Date","policy.dummy","distance","traveltime.person"
"1",26,5,"2019-03-13",0,2.76560800673336,0.000399520575309628
"2",26,13,"2019-03-13",0,2.15357805709472,0.000363730190438141
"3",26,18,"2019-03-13",0,1.50563317185252,0.000341257158076974
"4",26,19,"2019-03-13",0,1.02122319032679,0.000290900918897323
"5",26,11,"2019-03-13",0,2.08582294054571,0.000419912771341057
"6",26,120,"2019-03-13",0,1.66550862789891,0.000299224264216274
"7",26,4,"2019-03-13",0,2.46879759832542,0.000504394726328406
"8",26,119,"2019-03-13",0,1.19489152237086,0.000206002796644027
"9",26,12.02,"2019-03-13",0,1.5992949712473,0.000356655346917033
"10",26,12.01,"2019-03-13",0,1.76814044950993,0.000349996670661872
"11",26,10.01,"2019-03-13",0,1.80816913967087,0.000342505659874817
"12",26,118,"2019-03-13",0,0.912166895609926,0.000127347183379944
"13",26,21,"2019-03-13",0,0.649111285972633,0.000182697429750966
"14",26,28,"2019-03-13",0,1.3368371541375,0.000347915834332135
"15",26,35,"2019-03-13",0,0.839642274898976,0.000131925023305367
"16",26,5,"2019-05-08",0,2.76560800673336,0.000317370759574018
"17",26,13,"2019-05-08",0,2.15357805709472,0.000275446474050043
"18",26,18,"2019-05-08",0,1.50563317185252,0.000295429077430629
"19",26,19,"2019-05-08",0,1.02122319032679,0.000227253136485099
"20",26,11,"2019-05-08",0,2.08582294054571,0.00034949965128398
"21",26,120,"2019-05-08",0,1.66550862789891,0.000265259264483469
"22",26,4,"2019-05-08",0,2.46879759832542,0.000355768703324948
"23",26,119,"2019-05-08",0,1.19489152237086,0.000171615299621506
"24",26,12.02,"2019-05-08",0,1.5992949712473,0.000298563603451113
"25",26,12.01,"2019-05-08",0,1.76814044950993,0.00027348739528724
"26",26,10.01,"2019-05-08",0,1.80816913967087,0.000276621921307724
"27",26,118,"2019-05-08",0,0.912166895609926,9.16848860991607e-05
"28",26,21,"2019-05-08",0,0.649111285972633,0.000141053670921786
