,Date,weather.station,origin,destination,loc,origin.tract,destination.tract,Distance,post,treated,month,dayofweek,traveltime.mileEvening,median.age,median.income,per.male,per.female,per.white,per.bachelors,numvehicles,transScore,transRoutes,NumBikeshare,WalkScore,totalschool,undergrad,grad,college,dest.long,dest.lat,origin.long,origin.lat,Precip
0,6/25/19,DEKALB-PEACHTREE AIRPORT,5.0,12.02,m,500,1202,1.339093776,False,True,6,Tuesday,4.629996878,31.4,46672,51.5,48.5,64.72,35.64,2120,9.1,37,4,62,1474,452,347,799,-84.3851557,33.776784,-84.3854516,33.7961417,0
1,6/25/19,DEKALB-PEACHTREE AIRPORT,5.0,10.01,m,500,1001,0.961564188,False,True,6,Tuesday,2.409268873,31.4,46672,51.5,48.5,64.72,35.64,2120,9.1,37,4,62,1474,452,347,799,-84.3902405,33.7828223,-84.3854516,33.7961417,0
2,6/25/19,DEKALB-PEACHTREE AIRPORT,4.0,12.02,m,400,1202,0.884951126,False,True,6,Tuesday,6.215032492,44.6,47260,45.29,54.71,79.74,34.21,555,9.2,39,7,74,347,145,33,178,-84.3851557,33.776784,-84.3785105,33.7883241,0
3,6/25/19,DEKALB-PEACHTREE AIRPORT,4.0,12.01,m,400,1201,0.832996532,False,True,6,Tuesday,5.882377429,44.6,47260,45.29,54.71,79.74,34.21,555,9.2,39,7,74,347,145,33,178,-84.380305,33.7763742,-84.3785105,33.7883241,0
4,6/25/19,DEKALB-PEACHTREE AIRPORT,5.0,4.0,m,500,400,0.67202502,False,True,6,Tuesday,4.042508217,31.4,46672,51.5,48.5,64.72,35.64,2120,9.1,37,4,62,1474,452,347,799,-84.3785105,33.7883241,-84.3854516,33.7961417,0
5,6/25/19,DEKALB-PEACHTREE AIRPORT,5.0,12.01,m,500,1201,1.398977216,False,True,6,Tuesday,4.991742006,31.4,46672,51.5,48.5,64.72,35.64,2120,9.1,37,4,62,1474,452,347,799,-84.380305,33.7763742,-84.3854516,33.7961417,0
6,6/25/19,DEKALB-PEACHTREE AIRPORT,4.0,13.0,m,400,1300,0.929141787,False,True,6,Tuesday,4.251234908,44.6,47260,45.29,54.71,79.74,34.21,555,9.2,39,7,74,347,145,33,178,-84.3715699,33.7761933,-84.3785105,33.7883241,0
7,6/25/19,DEKALB-PEACHTREE AIRPORT,13.0,4.0,m,1300,400,0.929141787,False,True,6,Tuesday,5.23780841,32.0,52188,59.21,40.79,66.16,47.01,2050,8.9,11,2,89,835,162,251,413,-84.3785105,33.7883241,-84.3715699,33.7761933,0
8,6/25/19,DEKALB-PEACHTREE AIRPORT,11.0,12.02,m,1100,1202,0.525034066,False,True,6,Tuesday,5.872634807,36.8,84593,52.88,47.12,76.53,38.06,2240,9.4,40,5,90,448,137,227,364,-84.3851557,33.776784,-84.3830169,33.7841633,0
9,6/25/19,DEKALB-PEACHTREE AIRPORT,303.2,312.07,c,30320,31207,3.336371018,False,False,6,Tuesday,1.378743544,42.0,57461,47.58,52.42,69.49,45.71,3550,2.6,3,3,1,1501,198,59,257,-84.466061,33.8748589,-84.45224,33.9217087,0
