,minutes_per_mile,treated,post,scooter,origin_tract,destination,day_of_week,month,numvehicles,totalschool,tract,date,transit.routes,walk.score,bike.hubs,precip,week_num
0,1.4444898810396858,0,0,1,30320,30339,Thursday,7,3550,1501,cumberland,2018-07-12,3,1,3,0,28
1,2.664834780538731,0,0,1,30320,30339,Saturday,7,3550,1501,cumberland,2018-07-14,3,1,3,0,28
2,2.0359835823274883,0,0,1,30320,30339,Sunday,7,3550,1501,cumberland,2018-07-15,3,1,3,1,28
3,1.936363590531648,0,0,1,30320,30339,Monday,7,3550,1501,cumberland,2018-07-16,3,1,3,1,29
4,1.3822273861672858,0,0,1,30320,30339,Tuesday,7,3550,1501,cumberland,2018-07-17,3,1,3,0,29
5,1.849196097710288,0,0,1,30320,30339,Wednesday,7,3550,1501,cumberland,2018-07-18,3,1,3,0,29
6,1.7495761059144472,0,0,1,30320,30339,Thursday,7,3550,1501,cumberland,2018-07-19,3,1,3,1,29
7,2.228997316431929,0,0,1,30320,30339,Friday,7,3550,1501,cumberland,2018-07-20,3,1,3,0,29
8,1.867874846172008,0,0,1,30320,30339,Sunday,7,3550,1501,cumberland,2018-07-22,3,1,3,1,29
9,2.172961071046769,0,0,1,30320,30339,Monday,7,3550,1501,cumberland,2018-07-23,3,1,3,1,30
10,1.4133586336034858,0,0,1,30320,30339,Tuesday,7,3550,1501,cumberland,2018-07-24,3,1,3,1,30
11,1.3075123923204053,0,0,1,30320,30339,Wednesday,7,3550,1501,cumberland,2018-07-25,3,1,3,0,30
12,3.0010522528496923,0,0,1,30320,30339,Thursday,7,3550,1501,cumberland,2018-07-26,3,1,3,0,30
13,1.3760011366800455,0,0,1,30320,30339,Sunday,7,3550,1501,cumberland,2018-07-29,3,1,3,0,30
14,1.905232343095448,0,0,1,30320,30339,Monday,7,3550,1501,cumberland,2018-07-30,3,1,3,0,31
15,2.0484360813019684,0,0,1,30320,30339,Tuesday,7,3550,1501,cumberland,2018-07-31,3,1,3,1,31
16,1.917684842069928,0,0,1,30320,30339,Wednesday,8,3550,1501,cumberland,2018-08-01,3,1,3,1,31
17,1.998626085404048,0,0,1,30320,30339,Thursday,8,3550,1501,cumberland,2018-08-02,3,1,3,1,31
18,2.0422098318147284,0,0,1,30320,30339,Saturday,8,3550,1501,cumberland,2018-08-04,3,1,3,0,31
19,1.7682548543761671,0,0,1,30320,30339,Sunday,8,3550,1501,cumberland,2018-08-05,3,1,3,0,31
20,2.004852334891288,0,0,1,30320,30339,Monday,8,3550,1501,cumberland,2018-08-06,3,1,3,0,32
21,1.7558023554016873,0,0,1,30320,30339,Tuesday,8,3550,1501,cumberland,2018-08-07,3,1,3,0,32
22,1.6624086130930869,0,0,1,30320,30339,Wednesday,8,3550,1501,cumberland,2018-08-08,3,1,3,1,32
23,1.992399835916808,0,1,1,30320,30339,Thursday,8,3550,1501,cumberland,2018-08-09,3,1,3,1,32
24,2.185413570021249,0,1,1,30320,30339,Friday,8,3550,1501,cumberland,2018-08-10,3,1,3,0,32
