"","traveltime.mile","treated","post","scooter","origin.tract","dayofweek","month","numvehicles","totalschool","origin.area","Date","transit.routes","walk.score","bike.hubs"
"1",3.670498258,TRUE,FALSE,TRUE,400,"Friday",7,555,347,"m",2019-07-12,39,74,7
"2",4.000107108,TRUE,FALSE,TRUE,400,"Friday",7,555,347,"m",2019-07-12,39,74,7
"3",5.853513589,TRUE,FALSE,TRUE,400,"Friday",7,555,347,"m",2019-07-12,39,74,7
"4",6.346866516,TRUE,FALSE,TRUE,400,"Friday",7,555,347,"m",2019-07-12,39,74,7
"5",6.362571506,TRUE,FALSE,TRUE,400,"Friday",7,555,347,"m",2019-07-12,39,74,7
"6",7.598020827,TRUE,FALSE,TRUE,400,"Friday",7,555,347,"m",2019-07-12,39,74,7
"7",3.521694275,TRUE,FALSE,TRUE,400,"Saturday",7,555,347,"m",2019-07-13,39,74,7
"8",3.677228507,TRUE,FALSE,TRUE,400,"Saturday",7,555,347,"m",2019-07-13,39,74,7
"9",5.035743308,TRUE,FALSE,TRUE,400,"Saturday",7,555,347,"m",2019-07-13,39,74,7
"10",5.311027767,TRUE,FALSE,TRUE,400,"Saturday",7,555,347,"m",2019-07-13,39,74,7
"11",5.142078229,TRUE,FALSE,TRUE,400,"Saturday",7,555,347,"m",2019-07-13,39,74,7
"12",6.930772539,TRUE,FALSE,TRUE,400,"Saturday",7,555,347,"m",2019-07-13,39,74,7
"13",5.742320824,TRUE,FALSE,TRUE,400,"Sunday",7,555,347,"m",2019-07-14,39,74,7
"14",7.146013922,TRUE,FALSE,TRUE,400,"Sunday",7,555,347,"m",2019-07-14,39,74,7
"15",5.499362085,TRUE,FALSE,TRUE,400,"Sunday",7,555,347,"m",2019-07-14,39,74,7
"16",3.802792407,TRUE,FALSE,TRUE,400,"Sunday",7,555,347,"m",2019-07-14,39,74,7
"17",3.521694275,TRUE,FALSE,TRUE,400,"Sunday",7,555,347,"m",2019-07-14,39,74,7
"18",4.519256815,TRUE,FALSE,TRUE,400,"Sunday",7,555,347,"m",2019-07-14,39,74,7
"19",3.670498258,TRUE,FALSE,TRUE,400,"Monday",7,555,347,"m",2019-07-15,39,74,7
"20",7.576496688,TRUE,FALSE,TRUE,400,"Monday",7,555,347,"m",2019-07-15,39,74,7
"21",4.605337897,TRUE,FALSE,TRUE,400,"Monday",7,555,347,"m",2019-07-15,39,74,7
"22",5.34869463,TRUE,FALSE,TRUE,400,"Monday",7,555,347,"m",2019-07-15,39,74,7
"23",5.582256132,TRUE,FALSE,TRUE,400,"Monday",7,555,347,"m",2019-07-15,39,74,7
"24",4.556175809,TRUE,FALSE,TRUE,400,"Monday",7,555,347,"m",2019-07-15,39,74,7
"25",3.571295603,TRUE,FALSE,TRUE,400,"Tuesday",7,555,347,"m",2019-07-16,39,74,7
"26",5.762328911,TRUE,FALSE,TRUE,400,"Tuesday",7,555,347,"m",2019-07-16,39,74,7
"27",5.913697584,TRUE,FALSE,TRUE,400,"Tuesday",7,555,347,"m",2019-07-16,39,74,7
"28",6.823151847,TRUE,FALSE,TRUE,400,"Tuesday",7,555,347,"m",2019-07-16,39,74,7
"29",4.863581144,TRUE,FALSE,TRUE,400,"Tuesday",7,555,347,"m",2019-07-16,39,74,7
"30",4.448549609,TRUE,FALSE,TRUE,400,"Tuesday",7,555,347,"m",2019-07-16,39,74,7
"31",7.275158752,TRUE,FALSE,TRUE,400,"Wednesday",7,555,347,"m",2019-07-17,39,74,7
"32",4.73445952,TRUE,FALSE,TRUE,400,"Wednesday",7,555,347,"m",2019-07-17,39,74,7
"33",5.593529244,TRUE,FALSE,TRUE,400,"Wednesday",7,555,347,"m",2019-07-17,39,74,7
"34",5.302142921,TRUE,FALSE,TRUE,400,"Wednesday",7,555,347,"m",2019-07-17,39,74,7
"35",3.049409006,TRUE,FALSE,TRUE,400,"Wednesday",7,555,347,"m",2019-07-17,39,74,7
"36",3.422491619,TRUE,FALSE,TRUE,400,"Wednesday",7,555,347,"m",2019-07-17,39,74,7
"37",5.337027096,TRUE,FALSE,TRUE,400,"Thursday",7,555,347,"m",2019-07-18,39,74,7
"38",5.894864152,TRUE,FALSE,TRUE,400,"Thursday",7,555,347,"m",2019-07-18,39,74,7
"39",5.702304651,TRUE,FALSE,TRUE,400,"Thursday",7,555,347,"m",2019-07-18,39,74,7
"40",7.29668289,TRUE,FALSE,TRUE,400,"Thursday",7,555,347,"m",2019-07-18,39,74,7
"41",3.422491619,TRUE,FALSE,TRUE,400,"Thursday",7,555,347,"m",2019-07-18,39,74,7
"42",4.143608708,TRUE,FALSE,TRUE,400,"Thursday",7,555,347,"m",2019-07-18,39,74,7
