"","traveltime.mileEvening","treated","post","dayofweek","month","numvehicles","transRoutes","WalkScore","NumBikeshare","totalschool","origin.tract","Date","dayofweek.1"
"1",4.6299968775551,TRUE,FALSE,"Tuesday",6,2120,37,62,4,1474,500,"2019-06-25","Tuesday"
"2",2.40926887260302,TRUE,FALSE,"Tuesday",6,2120,37,62,4,1474,500,"2019-06-25","Tuesday"
"3",6.21503249214943,TRUE,FALSE,"Tuesday",6,555,39,74,7,347,400,"2019-06-25","Tuesday"
"4",5.88237742904618,TRUE,FALSE,"Tuesday",6,555,39,74,7,347,400,"2019-06-25","Tuesday"
"5",4.04250821660952,TRUE,FALSE,"Tuesday",6,2120,37,62,4,1474,500,"2019-06-25","Tuesday"
"6",4.99174200568136,TRUE,FALSE,"Tuesday",6,2120,37,62,4,1474,500,"2019-06-25","Tuesday"
"7",4.25123490773495,TRUE,FALSE,"Tuesday",6,555,39,74,7,347,400,"2019-06-25","Tuesday"
"8",5.23780840952998,TRUE,FALSE,"Tuesday",6,2050,11,89,2,835,1300,"2019-06-25","Tuesday"
"9",5.87263480702194,TRUE,FALSE,"Tuesday",6,2240,40,90,5,448,1100,"2019-06-25","Tuesday"
"10",1.37874354375522,FALSE,FALSE,"Tuesday",6,3550,3,1,3,1501,30320,"2019-06-25","Tuesday"
"11",9.55684510947814,TRUE,FALSE,"Tuesday",6,2240,40,90,5,448,1100,"2019-06-25","Tuesday"
"12",4.93875565789239,TRUE,FALSE,"Tuesday",6,2240,40,90,5,448,1100,"2019-06-25","Tuesday"
"13",6.13660736458453,TRUE,FALSE,"Tuesday",6,2050,11,89,2,835,1300,"2019-06-25","Tuesday"
"14",2.02522915528364,FALSE,FALSE,"Tuesday",6,3550,3,1,3,1501,30320,"2019-06-25","Tuesday"
"15",5.35527721940139,TRUE,FALSE,"Tuesday",6,2120,37,62,4,1474,500,"2019-06-25","Tuesday"
"16",1.43203738227025,FALSE,FALSE,"Tuesday",6,3550,3,1,3,1501,30320,"2019-06-25","Tuesday"
"17",4.0673088805151,TRUE,FALSE,"Tuesday",6,555,39,74,7,347,400,"2019-06-25","Tuesday"
"18",6.49308221288318,TRUE,FALSE,"Tuesday",6,2050,11,89,2,835,1300,"2019-06-25","Tuesday"
"19",5.73499493579165,TRUE,FALSE,"Tuesday",6,2240,40,90,5,448,1100,"2019-06-25","Tuesday"
"20",1.12663258759765,FALSE,FALSE,"Tuesday",6,3550,3,1,3,1501,30320,"2019-06-25","Tuesday"
"21",5.37750405642538,TRUE,FALSE,"Tuesday",6,2240,40,90,5,448,1100,"2019-06-25","Tuesday"
"22",1.16663339074555,FALSE,FALSE,"Tuesday",6,3550,3,1,3,1501,30320,"2019-06-25","Tuesday"
"23",6.27007207786044,TRUE,FALSE,"Tuesday",6,2050,11,89,2,835,1300,"2019-06-25","Tuesday"
"24",7.53344841013319,TRUE,FALSE,"Tuesday",6,555,39,74,7,347,400,"2019-06-25","Tuesday"
"25",6.0748482539213,TRUE,FALSE,"Tuesday",6,2120,37,62,4,1474,500,"2019-06-25","Tuesday"
"26",5.29398655590666,TRUE,FALSE,"Tuesday",6,555,39,74,7,347,400,"2019-06-25","Tuesday"
"27",4.82054060375241,TRUE,FALSE,"Tuesday",6,2240,40,90,5,448,1100,"2019-06-25","Tuesday"
"28",6.45379612794332,TRUE,FALSE,"Tuesday",6,2050,11,89,2,835,1300,"2019-06-25","Tuesday"
"29",7.55180172544936,TRUE,FALSE,"Tuesday",6,2050,11,89,2,835,1300,"2019-06-25","Tuesday"
"30",5.71844010649102,TRUE,FALSE,"Tuesday",6,765,61,84,4,1498,1001,"2019-06-25","Tuesday"
"31",5.36138370175873,TRUE,FALSE,"Tuesday",6,2395,52,90,7,748,1202,"2019-06-25","Tuesday"
"32",1.50904317687669,FALSE,FALSE,"Tuesday",6,2720,6,32,0,797,31207,"2019-06-25","Tuesday"
"33",2.73096871931412,FALSE,FALSE,"Tuesday",6,2720,6,32,0,797,31207,"2019-06-25","Tuesday"
"34",2.37601911055942,FALSE,FALSE,"Tuesday",6,2670,6,22,3,1239,30345,"2019-06-25","Tuesday"
"35",2.1847434117094,FALSE,FALSE,"Tuesday",6,4140,5,26,3,1262,30339,"2019-06-25","Tuesday"
"36",2.41818406601032,FALSE,FALSE,"Tuesday",6,2215,4,23,0,988,30344,"2019-06-25","Tuesday"
"37",2.19786606931043,FALSE,FALSE,"Tuesday",6,4140,5,26,3,1262,30339,"2019-06-25","Tuesday"
"38",4.18981495309131,TRUE,FALSE,"Tuesday",6,2120,53,91,3,714,1201,"2019-06-25","Tuesday"
"39",2.09572695661226,FALSE,FALSE,"Tuesday",6,2670,6,22,3,1239,30345,"2019-06-25","Tuesday"
"40",6.462179300353,TRUE,FALSE,"Tuesday",6,2120,53,91,3,714,1201,"2019-06-25","Tuesday"
"41",4.7544591592098,TRUE,FALSE,"Tuesday",6,2395,52,90,7,748,1202,"2019-06-25","Tuesday"
"42",1.93858929286959,FALSE,FALSE,"Tuesday",6,2215,4,23,0,988,30344,"2019-06-25","Tuesday"
"43",5.8006969926728,TRUE,FALSE,"Tuesday",6,2395,52,90,7,748,1202,"2019-06-25","Tuesday"
"44",1.94128139375207,TRUE,FALSE,"Tuesday",6,765,61,84,4,1498,1001,"2019-06-25","Tuesday"
"45",6.77771983767514,TRUE,FALSE,"Tuesday",6,2120,53,91,3,714,1201,"2019-06-25","Tuesday"
"46",1.75739510328735,FALSE,FALSE,"Tuesday",6,2215,4,23,0,988,30344,"2019-06-25","Tuesday"
"47",1.63872657488953,FALSE,FALSE,"Tuesday",6,3110,1,47,0,845,31211,"2019-06-25","Tuesday"
"48",3.0855994784188,FALSE,FALSE,"Tuesday",6,2720,6,32,0,797,31207,"2019-06-25","Tuesday"
"49",3.17199472367541,FALSE,FALSE,"Tuesday",6,4140,5,26,3,1262,30339,"2019-06-25","Tuesday"
"50",1.4933623223764,FALSE,FALSE,"Tuesday",6,4140,5,26,3,1262,30339,"2019-06-25","Tuesday"
"51",2.33628192369531,FALSE,FALSE,"Tuesday",6,2670,6,22,3,1239,30345,"2019-06-25","Tuesday"
"53",1.94651430813218,FALSE,FALSE,"Tuesday",6,3110,1,47,0,845,31211,"2019-06-25","Tuesday"
"54",1.85152022147831,FALSE,FALSE,"Tuesday",6,2670,6,22,3,1239,30345,"2019-06-25","Tuesday"
"55",4.64921387596791,TRUE,FALSE,"Tuesday",6,765,61,84,4,1498,1001,"2019-06-25","Tuesday"
"56",4.41241209824892,TRUE,FALSE,"Tuesday",6,2395,52,90,7,748,1202,"2019-06-25","Tuesday"
"58",2.49064202434947,FALSE,FALSE,"Tuesday",6,2720,6,32,0,797,31207,"2019-06-25","Tuesday"
"59",6.30119974482819,TRUE,FALSE,"Tuesday",6,765,61,84,4,1498,1001,"2019-06-25","Tuesday"
"60",1.3874171868058,FALSE,FALSE,"Tuesday",6,4140,5,26,3,1262,30339,"2019-06-25","Tuesday"
"61",3.20840629649629,FALSE,FALSE,"Tuesday",6,2215,4,23,0,988,30344,"2019-06-25","Tuesday"
"62",5.26299312170965,TRUE,FALSE,"Tuesday",6,2395,52,90,7,748,1202,"2019-06-25","Tuesday"
"63",1.46873352340882,FALSE,FALSE,"Tuesday",6,2670,6,22,3,1239,30345,"2019-06-25","Tuesday"
"64",2.02517640768759,FALSE,FALSE,"Tuesday",6,3110,1,47,0,845,31211,"2019-06-25","Tuesday"
"65",1.87973053280192,FALSE,FALSE,"Tuesday",6,3110,1,47,0,845,31211,"2019-06-25","Tuesday"
"66",4.87672272722479,TRUE,FALSE,"Tuesday",6,2120,53,91,3,714,1201,"2019-06-25","Tuesday"
"67",4.87260735160782,TRUE,FALSE,"Tuesday",6,2120,53,91,3,714,1201,"2019-06-25","Tuesday"
"68",4.96908733333736,TRUE,FALSE,"Tuesday",6,765,61,84,4,1498,1001,"2019-06-25","Tuesday"
"69",6.89662720324839,TRUE,FALSE,"Tuesday",6,2395,52,90,7,748,1202,"2019-06-25","Tuesday"
"70",5.89694203725794,TRUE,FALSE,"Tuesday",6,765,61,84,4,1498,1001,"2019-06-25","Tuesday"
"71",2.55407091658216,FALSE,FALSE,"Tuesday",6,2215,4,23,0,988,30344,"2019-06-25","Tuesday"
"72",4.44179520152467,TRUE,FALSE,"Tuesday",6,2120,53,91,3,714,1201,"2019-06-25","Tuesday"
"73",5.13018220933416,TRUE,FALSE,"Wednesday",6,2050,11,89,2,835,1300,"2019-06-26","Wednesday"
"74",2.00507762140022,FALSE,FALSE,"Wednesday",6,3550,3,1,3,1501,30320,"2019-06-26","Wednesday"
"75",5.74565891930255,TRUE,FALSE,"Wednesday",6,2240,40,90,5,448,1100,"2019-06-26","Wednesday"
"76",1.0829646578458,FALSE,FALSE,"Wednesday",6,3550,3,1,3,1501,30320,"2019-06-26","Wednesday"
"77",5.97271493313017,TRUE,FALSE,"Wednesday",6,2240,40,90,5,448,1100,"2019-06-26","Wednesday"
"78",4.99270276817214,TRUE,FALSE,"Wednesday",6,2240,40,90,5,448,1100,"2019-06-26","Wednesday"
"79",9.28267332355049,TRUE,FALSE,"Wednesday",6,2240,40,90,5,448,1100,"2019-06-26","Wednesday"
"80",6.12247446696643,TRUE,FALSE,"Wednesday",6,555,39,74,7,347,400,"2019-06-26","Wednesday"
