Column1,state,county,tract,NAME,Population,MedianAge,MedianIncome,Male,Female,X..Male,X..Female,White,Black,AmIndian,Asian,PacIslander,OtherRace,X..White,X..Black,X..AmIndian,X..Asian,X..PacIslander,X..Other,EduTotal,NoHighSchool,HighSchool,Associates,Bachelors,Graduate,X..NoHighSchool,X..HighSchool,X..Associates,X..Bachelors,X..Graduate,TransportTotal,Car,PublicTransport,Bicycle,Walked,TaxiCab,WorkHome,X..Car,X..Public.Transport,X..Bicycle,X..Walked,X..TaxiCab,X..WorkHome,AggTravelTime,NumVechicles,veh.pop,travel.pop,transit.score,transit.routes,bike.hubs,walk.score,total.school,k12,college,origin.area,code
933,13,121,400,"Census Tract 4, Fulton County, Georgia",1910,44.6,47260,865,1045,45.29,54.71,1523,307,0,57,0,23,79.74,16.07,0,2.98,0,1.2,1441,15,63,186,493,684,1.04,4.37,12.91,34.21,47.47,1050,583,72,16,199,13,167,55.52,6.86,1.52,18.95,1.24,15.9,17140,555,0.290575916,8.97382199,9.2,39,7,74,347,169,178,m,177
704,13,121,500,"Census Tract 5, Fulton County, Georgia",5317,31.4,46672,2738,2579,51.5,48.5,3441,1210,0,295,12,359,64.72,22.76,0,5.55,0.23,6.75,3664,0,282,566,1306,1510,0,7.7,15.45,35.64,41.21,3277,2153,125,108,322,51,518,65.7,3.81,3.3,9.83,1.56,15.81,52725,2120,0.398721083,9.916306188,9.1,37,4,62,1474,606,799,m,113
832,13,121,1001,"Census Tract 10.01, Fulton County, Georgia",2766,26,30290,1784,982,64.5,35.5,1494,361,10,732,0,169,54.01,13.05,0.36,26.46,0,6.11,1470,2,90,241,552,585,0.14,6.12,16.39,37.55,39.8,1649,805,104,16,577,36,111,48.82,6.31,0.97,34.99,2.18,6.73,26240,765,0.276572668,9.486623283,9.6,61,4,84,1498,62,1436,m,443
733,13,121,1100,"Census Tract 11, Fulton County, Georgia",4554,36.8,84593,2408,2146,52.88,47.12,3485,272,52,460,0,285,76.53,5.97,1.14,10.1,0,6.26,4157,97,209,628,1582,1641,2.33,5.03,15.11,38.06,39.48,3520,2295,193,42,557,42,391,65.2,5.48,1.19,15.82,1.19,11.11,71385,2240,0.491875274,15.67523057,9.4,40,5,90,448,84,364,m,143
834,13,121,1201,"Census Tract 12.01, Fulton County, Georgia",4265,32.7,49606,2255,2010,52.87,47.13,3132,619,2,326,0,186,73.43,14.51,0.05,7.64,0,4.36,3525,250,165,494,1122,1494,7.09,4.68,14.01,31.83,42.38,3435,2238,349,232,397,71,148,65.15,10.16,6.75,11.56,2.07,4.31,58385,2120,0.497069168,13.68933177,9.3,53,3,91,714,307,386,m,442
835,13,121,1202,"Census Tract 12.02, Fulton County, Georgia",4597,34.4,62728,2817,1780,61.28,38.72,3206,764,29,306,0,292,69.74,16.62,0.63,6.66,0,6.35,3768,17,67,560,1633,1491,0.45,1.78,14.86,43.34,39.57,3676,2456,387,41,432,42,318,66.81,10.53,1.12,11.75,1.14,8.65,79435,2395,0.520991951,17.27974766,9.6,52,7,90,748,69,664,m,428
746,13,121,1300,"Census Tract 13, Fulton County, Georgia",4356,32,52188,2579,1777,59.21,40.79,2882,1082,0,217,0,175,66.16,24.84,0,4.98,0,4.02,3410,188,371,515,1603,733,5.51,10.88,15.1,47.01,21.5,2693,2115,142,30,170,72,164,78.54,5.27,1.11,6.31,2.67,6.09,66310,2050,0.470615243,15.22268136,8.9,11,2,89,835,309,413,m,114
845,13,121,9101,"Census Tract 91.01, Fulton County, Georgia",5270,33.5,58477,2391,2879,45.37,54.63,3672,770,0,461,0,367,69.68,14.61,0,8.75,0,6.96,4290,59,483,512,1767,1469,1.38,11.26,11.93,41.19,34.24,3896,3342,86,0,80,30,358,85.78,2.21,0,2.05,0.77,9.19,77940,3275,0.621442125,14.78937381,8.5,8,0,71,455,51,385,b,146
849,13,121,9501,"Census Tract 95.01, Fulton County, Georgia",3617,55,72311,1634,1983,45.18,54.82,3521,27,0,44,0,25,97.35,0.75,0,1.22,0,0.69,2847,31,136,292,1120,1268,1.09,4.78,10.26,39.34,44.54,1768,1481,28,11,12,75,161,83.77,1.58,0.62,0.68,4.24,9.11,37910,1470,0.406414155,10.48106165,4.5,2,0,43,719,524,130,b,494
850,13,121,9502,"Census Tract 95.02, Fulton County, Georgia",3447,44.6,51875,1572,1875,45.6,54.4,2560,554,0,233,8,92,74.27,16.07,0,6.76,0.23,2.67,2690,90,344,551,1041,664,3.35,12.79,20.48,38.7,24.68,1878,1686,15,0,66,58,53,89.78,0.8,0,3.51,3.09,2.82,41780,1575,0.45691906,12.12068465,7.3,3,0,58,433,323,92,b,592
851,13,121,9601,"Census Tract 96.01, Fulton County, Georgia",2640,28.2,59338,1581,1059,59.89,40.11,2125,226,0,122,0,167,80.49,8.56,0,4.62,0,6.33,1816,5,142,169,904,596,0.28,7.82,9.31,49.78,32.82,2035,1872,20,18,90,17,18,91.99,0.98,0.88,4.42,0.84,0.88,46290,1805,0.683712121,17.53409091,9,4,0,73,428,156,199,b,342
856,13,121,10001,"Census Tract 100.01, Fulton County, Georgia",4834,39.4,60024,2449,2385,50.66,49.34,3594,620,0,507,0,113,74.35,12.83,0,10.49,0,2.34,3542,158,37,600,1701,1046,4.46,1.04,16.94,48.02,29.53,2857,2313,87,22,49,76,310,80.96,3.05,0.77,1.72,2.66,10.85,56605,2245,0.464418701,11.70976417,6.4,1,0,46,956,689,228,b,124
