OBJECTID,GlobalID,last_edited_date,id,short_name,long_name,direction,rte_type,rte_color,agency_id,agency_nam,gen_date,end_date
3890,{B9F95FFC-B180-42B7-ABF5-2FA36AA23F60},2019/02/14 21:35:50+00,0,A Line,King Historic District - Centennial Olympic Park,Centennial Olympic Park,"tram, light rail, streetcar",636199,ASC,Atlanta Streetcar,2019/01/07,2018/12/31
3891,{3F6CDD46-7399-4201-99ED-3D92FDFBD7D4},2019/02/14 21:35:50+00,1,A Line,King Historic District - Centennial Olympic Park,King Historic District,"tram, light rail, streetcar",636199,ASC,Atlanta Streetcar,2019/01/07,2018/12/31
3892,{EA7ACFCA-A5EC-49D9-A16F-D799C0BBD7B8},2019/02/14 21:35:50+00,3,A Line,King Historic District - Centennial Olympic Park,Centennial Olympic Park,"tram, light rail, streetcar",636199,ASC,Atlanta Streetcar,2019/01/07,2018/12/31
4424,{D902AF0B-D0C0-43E9-84C0-67680393F3EC},2019/05/06 20:22:37+00,0,45,Sugarloaf Mills - Georgia Gwinnett College,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4426,{41A6A155-49A6-4E2B-A7A8-CCD1672C467A},2019/05/06 20:22:37+00,0,110,Emory University / CDC,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4436,{08E0C7CA-0D16-44F6-8F46-99F2B2F3F19D},2019/05/06 20:22:37+00,0,30,Lilburn - Gwinnett Transit Center,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4442,{C58956AD-D1BB-43DE-9B13-D8F360BD30DD},2019/05/06 20:22:37+00,0,10A,Sugarloaf - Gwinnett Transit Center - Doraville via Satellite,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4443,{0751C1CB-81F9-44B3-8154-8D1755FB9EF7},2019/05/06 20:22:37+00,0,40,Lawrenceville - Gwinnett Transit Center - Sugarloaf Mills,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4453,{BC77081B-04A8-4424-8E14-42A0B53B63D7},2019/05/06 20:22:37+00,0,20,Beaver Ruin - Doraville,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4469,{8C707041-D6D1-4895-B416-44BF2397A119},2019/05/06 20:22:37+00,0,10A,Sugarloaf - Gwinnett Transit Center - Doraville via Satellite,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4493,{3B322F56-3EEF-478D-8544-7E9E7E047E34},2019/05/06 20:22:37+00,0,110,Emory University / CDC,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4518,{581DF49A-3BC2-4060-87B8-A69792DB5379},2019/05/06 20:22:37+00,0,101,I-985 Park & Ride - Atlanta,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4527,{982F1474-FDEB-435C-9A03-B16F5A600A35},2019/05/06 20:22:37+00,0,20,Beaver Ruin - Doraville,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4535,{9ECC8350-DE26-499C-9F9A-9B83392127B7},2019/05/06 20:22:37+00,0,30,Lilburn - Gwinnett Transit Center,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4545,{2A7F7209-438B-4D0C-8B00-DF4486BA5016},2019/05/06 20:22:37+00,0,102,Indian Trail Park & Ride - Atlanta,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4557,{88722D4E-D865-458C-AF8B-B474D6E4D2D8},2019/05/06 20:22:37+00,0,35,Norcross - Doraville,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4559,{79C59FD9-A852-4833-B084-6B74C138B89C},2019/05/06 20:22:37+00,0,110,Emory University / CDC,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4577,{BFCD6E30-6F8F-4748-BE32-662D9F15A303},2019/05/06 20:22:37+00,0,101-2-3,Express Sweeper,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4580,{7FB6F39F-46CB-4554-851B-8DF9D085E1E9},2019/05/06 20:22:37+00,0,40,Lawrenceville - Gwinnett Transit Center - Sugarloaf Mills,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4607,{92A3EB7A-DE98-4AD7-82EF-C88C7E20783B},2019/05/06 20:22:37+00,0,110,Emory University / CDC,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4614,{62964BFE-6BED-4E24-AC7B-C5F3BEED5C07},2019/05/06 20:22:37+00,0,45,Sugarloaf Mills - Georgia Gwinnett College,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4649,{15227B8B-9B4F-4545-B103-389D81294E8B},2019/05/06 20:22:37+00,0,40,Lawrenceville - Gwinnett Transit Center - Sugarloaf Mills,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4650,{EA535AC8-7879-4A68-B928-3D4F8B9BE226},2019/05/06 20:22:37+00,0,101,I-985 Park & Ride - Atlanta,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4670,{B964D71A-3164-452A-9CB4-1DD5E840A25A},2019/05/06 20:22:37+00,0,40,Lawrenceville - Gwinnett Transit Center - Sugarloaf Mills,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4674,{293106FB-4D67-487F-AD2E-3848B1AA4A81},2019/05/06 20:22:37+00,0,10A,Sugarloaf - Gwinnett Transit Center - Doraville via Satellite,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4678,{4F41EDCC-C474-439E-B277-DB8716C37318},2019/05/06 20:22:37+00,0,203,Atlanta - Sugarloaf Mills Park & Ride,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4679,{EFA91FBC-13CB-446D-B402-E61F3ADD4925},2019/05/06 20:22:37+00,0,10B,Sugarloaf  - Gwinnett Transit Center - Doraville via Buford Highway,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4689,{EE8129C1-BB7C-49CE-BDBE-B2740A1FE052},2019/05/06 20:22:37+00,0,30,Lilburn - Gwinnett Transit Center,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4690,{5A108BBD-DA6B-457B-871A-6C7DFC55E78F},2019/05/06 20:22:37+00,0,20,Beaver Ruin - Doraville,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4693,{F0AEB3A1-BFFC-41B8-9BCF-67843A411BBC},2019/05/06 20:22:37+00,0,10B,Sugarloaf  - Gwinnett Transit Center - Doraville via Buford Highway,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4700,{74E00F72-D44B-4FA1-B5A6-4C5BFBE26E29},2019/05/06 20:22:37+00,0,35,Norcross - Doraville,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4702,{E85D9006-9632-46DB-94FF-A0A4425FB0FC},2019/05/06 20:22:37+00,0,110,Emory University / CDC,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4704,{2040B743-E3F9-4D02-AB25-07A567B20601},2019/05/06 20:22:37+00,0,10A,Sugarloaf - Gwinnett Transit Center - Doraville via Satellite,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4720,{2DB54522-37F6-4544-9F99-BCC2C30B25F1},2019/05/06 20:22:37+00,0,20,Beaver Ruin - Doraville,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4730,{C6582D1A-8C52-48F3-9141-50F75FD87CCD},2019/05/06 20:22:37+00,0,102,Indian Trail Park & Ride - Atlanta,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4738,{0A6A3D00-1A78-4D23-B864-86A9FD888F9D},2019/05/06 20:22:37+00,0,35,Norcross - Doraville,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4748,{2E025640-884E-4B28-8F06-A0D6C21FA744},2019/05/06 20:22:37+00,0,10A,Sugarloaf - Gwinnett Transit Center - Doraville via Satellite,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
4755,{894BF36F-AC6A-4F73-AF80-B8139B2AA7EB},2019/05/06 20:22:37+00,0,110,Emory University / CDC,,bus,,GCT,Gwinnett County Transit,2019/05/06,2020/01/01
