state,county,tract,name ,long name
13,121,1,Census Tract 1,"Census Tract 1, Fulton County, Georgia"
13,121,2,Census Tract 2,"Census Tract 2, Fulton County, Georgia"
13,121,4,Census Tract 4,"Census Tract 4, Fulton County, Georgia"
13,121,5,Census Tract 5,"Census Tract 5, Fulton County, Georgia"
13,121,6,Census Tract 6,"Census Tract 6, Fulton County, Georgia"
13,121,7,Census Tract 7,"Census Tract 7, Fulton County, Georgia"
13,121,10.01,Census Tract 10.01,"Census Tract 10.01, Fulton County, Georgia"
13,121,10.02,Census Tract 10.02,"Census Tract 10.02, Fulton County, Georgia"
13,121,11,Census Tract 11,"Census Tract 11, Fulton County, Georgia"
13,121,12.01,Census Tract 12.01,"Census Tract 12.01, Fulton County, Georgia"
13,121,12.02,Census Tract 12.02,"Census Tract 12.02, Fulton County, Georgia"
13,121,13,Census Tract 13,"Census Tract 13, Fulton County, Georgia"
13,121,14,Census Tract 14,"Census Tract 14, Fulton County, Georgia"
13,121,15,Census Tract 15,"Census Tract 15, Fulton County, Georgia"
13,121,16,Census Tract 16,"Census Tract 16, Fulton County, Georgia"
13,121,17,Census Tract 17,"Census Tract 17, Fulton County, Georgia"
13,121,18,Census Tract 18,"Census Tract 18, Fulton County, Georgia"
13,121,19,Census Tract 19,"Census Tract 19, Fulton County, Georgia"
13,121,21,Census Tract 21,"Census Tract 21, Fulton County, Georgia"
13,121,23,Census Tract 23,"Census Tract 23, Fulton County, Georgia"
13,121,24,Census Tract 24,"Census Tract 24, Fulton County, Georgia"
13,121,25,Census Tract 25,"Census Tract 25, Fulton County, Georgia"
13,121,26,Census Tract 26,"Census Tract 26, Fulton County, Georgia"
13,121,28,Census Tract 28,"Census Tract 28, Fulton County, Georgia"
13,121,29,Census Tract 29,"Census Tract 29, Fulton County, Georgia"
13,121,30,Census Tract 30,"Census Tract 30, Fulton County, Georgia"
13,121,31,Census Tract 31,"Census Tract 31, Fulton County, Georgia"
13,121,32,Census Tract 32,"Census Tract 32, Fulton County, Georgia"
13,121,35,Census Tract 35,"Census Tract 35, Fulton County, Georgia"
13,121,36,Census Tract 36,"Census Tract 36, Fulton County, Georgia"
13,121,37,Census Tract 37,"Census Tract 37, Fulton County, Georgia"
13,121,38,Census Tract 38,"Census Tract 38, Fulton County, Georgia"
13,121,39,Census Tract 39,"Census Tract 39, Fulton County, Georgia"
